CustomerKey,Age,Gender,NumberCarsOwned,HouseOwnerFlag,YearlyIncome,MaritalStatus,FirstPurchaseAmount,LifetimeSales
13,56,1,2,1,100000,1,1353.6265,25022.385
15,56,1,3,0,100000,0,1449.567,20472.1325
30,77,0,2,1,30000,1,8.4915,31325.1663
32,76,1,2,1,20000,1,8.4915,22135.075
47,74,1,2,1,30000,1,1047.1915,27938.9035
49,73,0,2,1,30000,1,515.831,25622.1375
64,49,1,2,1,40000,0,2123.896,27584.0565
66,50,1,2,0,60000,1,1239.6265,24691.98
81,64,0,2,1,170000,1,840.497,40629.941
83,57,1,3,0,130000,0,284.2685,42600.686
98,62,0,1,1,60000,1,854.9895,29665.505
100,63,0,1,1,60000,1,347.65,28281.8
113,61,1,1,1,60000,1,1977.3295,26339.8975
115,62,1,2,1,70000,0,83.198,25799.6395
130,48,1,1,1,40000,0,1420.1265,19959.406
132,44,1,2,0,30000,1,716.2905,39398.499
147,84,1,2,1,40000,0,83.198,23298.8985
149,82,0,2,1,40000,1,593.793,26492.5805
164,49,0,1,1,40000,1,636.4905,32342.879
166,50,1,1,0,60000,1,1473.45,24765.3985
181,81,1,4,1,160000,1,939.379,39426.175
183,79,1,2,1,70000,0,719.0265,26519.064
198,77,1,1,0,70000,1,179.075,22316.665
200,77,1,1,1,70000,1,755.1265,25934.979
215,74,0,2,1,60000,0,832.6655,28204.007
217,74,1,2,1,60000,0,188.1,25728.233
230,72,0,1,1,70000,0,663.651,26566.2825
232,71,0,2,1,60000,1,8.5405,22847.819
247,67,1,4,0,120000,1,2313.496,36759.233
249,69,0,4,1,110000,1,2018.4,39651.0139
264,59,1,3,1,90000,1,1250.8365,28177.651
266,59,1,3,1,90000,1,663.651,30758.8995
281,60,0,1,1,90000,1,575.567,24401.8575
283,62,0,4,1,90000,1,1169.4405,29569.526
298,89,0,2,1,70000,0,8.5405,26326.1055
300,88,0,2,1,70000,1,8.5405,24399.376
315,70,1,2,0,70000,0,8.5405,21663.793
317,70,0,2,1,60000,1,575.567,27105.02
332,55,1,2,1,90000,1,575.567,26891.3905
334,61,1,0,1,20000,1,987.992,15752.6591
347,69,1,1,1,10000,0,93.52,17873.0415
349,68,0,1,1,10000,1,21.52,18658.581
364,46,0,2,0,10000,0,120.683,19639.182
366,45,1,0,0,10000,0,34.8415,23374.9885
381,65,0,1,1,20000,0,12.4,12627.5911
383,66,0,1,1,20000,1,1536.04,18929.4533
398,55,1,1,0,20000,0,501.416,17973.4108
400,54,1,0,1,30000,0,35.2,18653.207
415,70,0,1,1,80000,0,1952.36,49365.4022
417,79,1,4,1,60000,1,428.72,45297.1999
432,71,0,2,1,110000,1,198.4,40983.9035
434,72,0,2,0,80000,1,1188.696,50749.2097
449,49,0,3,1,80000,0,676.4725,25373.097
451,48,0,4,1,130000,0,254.3455,38108.6435
464,52,1,4,0,110000,1,254.3455,38863.894
466,53,0,4,0,90000,1,174.063,21191.9725
481,51,1,0,1,40000,1,1757.344,55937.2402
483,51,1,1,0,30000,0,10.36,14593.375
498,53,1,2,1,40000,0,175.2,45015.2847
500,49,0,2,1,40000,0,759.5915,26114.551
515,70,0,1,1,30000,1,2181.4565,47696.982
517,69,1,1,1,30000,1,467.343,41044.5715
532,67,1,1,1,40000,1,8.5405,30428.2595
534,66,1,1,1,40000,1,175.2,53727.9357
549,55,0,0,1,40000,0,652.696,52875.8154
551,55,1,0,1,40000,0,150.4,50174.1865
