YearsExperience,Salary
1.2000000000000002,39344
1.4000000000000001,46206
1.6,37732
2.1,43526
2.3000000000000003,39892
3,56643
3.1,60151
3.3000000000000003,54446
3.3000000000000003,64446
3.8000000000000003,57190
4,63219
4.1,55795
4.1,56958
4.199999999999999,57082
4.6,61112
5,67939
5.199999999999999,66030
5.3999999999999995,83089
6,81364
6.1,93941
6.8999999999999995,91739
7.199999999999999,98274
8,101303
8.299999999999999,113813
8.799999999999999,109432
9.1,105583
9.6,116970
9.7,112636
10.4,122392
10.6,121873
